"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000003317" 35 55 45 46
"ENSDARG00000003320" 811 832 1522 1396
"ENSDARG00000003323" 211 190 522 494
"ENSDARG00000003326" 320 259 373 347
"ENSDARG00000003328" 651 615 769 746
"ENSDARG00000003344" 11 16 16 12
"ENSDARG00000003373" 336 268 685 730
"ENSDARG00000003375" 414 504 1438 1359
"ENSDARG00000003380" 250 291 647 694
"ENSDARG00000003381" 1898 1759 757 802
"ENSDARG00000003382" 1115 796 1040 1075
"ENSDARG00000003383" 356 266 604 589
"ENSDARG00000003384" 432 294 556 632
"ENSDARG00000003391" 898 898 2120 2105
"ENSDARG00000003395" 30 33 45 45
"ENSDARG00000003397" 73 87 135 139
"ENSDARG00000003398" 759 860 1493 1444
"ENSDARG00000003399" 7 4 10 8
"ENSDARG00000003403" 2423 1789 706 855
"ENSDARG00000003411" 6 2 3 2
"ENSDARG00000003414" 7 5 3 2
"ENSDARG00000003420" 9 16 18 19
"ENSDARG00000003421" 1256 1023 1152 1346
"ENSDARG00000003429" 7140 6705 7072 7792
"ENSDARG00000003444" 621 454 650 644
"ENSDARG00000003446" 895 1020 1783 1757
"ENSDARG00000003449" 270 259 528 537
"ENSDARG00000003462" 275 203 350 309
"ENSDARG00000003470" 1349 1409 1382 1509
"ENSDARG00000003475" 406 363 255 336
"ENSDARG00000003486" 2509 2085 6754 6509
"ENSDARG00000003487" 1052 905 3232 2841
"ENSDARG00000003495" 1466 1040 1479 1490
"ENSDARG00000003511" 500 455 932 993
"ENSDARG00000003512" 1544 1220 2142 2422
"ENSDARG00000003513" 4578 3403 6184 6060
"ENSDARG00000003517" 322 381 876 958
"ENSDARG00000003519" 276 320 962 1024
"ENSDARG00000003520" 642 774 1001 1096
"ENSDARG00000003523" 13 11 12 12
"ENSDARG00000003526" 1324 1419 5109 5942
"ENSDARG00000003527" 459 486 679 787
"ENSDARG00000003531" 746 716 1852 1893
"ENSDARG00000003533" 461 362 446 372
"ENSDARG00000003544" 478 362 522 595
"ENSDARG00000003546" 498 435 1829 1719
"ENSDARG00000003564" 821 558 1370 1399
"ENSDARG00000003570" 4470 5339 34761 31602
"ENSDARG00000003573" 574 525 1029 962
"ENSDARG00000003576" 425 249 230 295
"ENSDARG00000003582" 96 68 208 217
"ENSDARG00000003584" 1313 1273 2787 2906
"ENSDARG00000003592" 311 294 485 568
"ENSDARG00000003599" 156640 96175 85518 80503
"ENSDARG00000003607" 415 393 1035 1010
"ENSDARG00000003616" 723 662 1385 1434
"ENSDARG00000003631" 921 859 868 1021
"ENSDARG00000003632" 2 5 3 4
"ENSDARG00000003635" 206 156 260 319
"ENSDARG00000003641" 2160 1589 6366 6043
"ENSDARG00000003642" 337 314 536 646
"ENSDARG00000003655" 727 524 1332 1292
"ENSDARG00000003675" 314 283 678 648
"ENSDARG00000003680" 168 104 651 604
"ENSDARG00000003681" 5482 4236 10873 10829
"ENSDARG00000003682" 2220 2335 2371 2577
"ENSDARG00000003684" 66 64 48 68
"ENSDARG00000003693" 850 796 3766 3851
"ENSDARG00000003695" 3330 2161 8354 8322
"ENSDARG00000003697" 21 15 11 19
"ENSDARG00000003699" 922 824 1887 1736
"ENSDARG00000003705" 1218 996 2380 2074
"ENSDARG00000003706" 35 40 42 58
"ENSDARG00000003732" 185 157 166 134
"ENSDARG00000003749" 304 290 901 994
"ENSDARG00000003750" 809 782 1258 1222
"ENSDARG00000003751" 1002 982 790 840
"ENSDARG00000003754" 697 728 1080 1112
"ENSDARG00000003757" 539 644 1149 1254
"ENSDARG00000003769" 116 130 208 201
"ENSDARG00000003776" 1217 1094 1995 1978
"ENSDARG00000003779" 134 90 136 134
"ENSDARG00000003783" 34 44 243 216
"ENSDARG00000003789" 1027 1030 2203 2329
"ENSDARG00000003795" 1067 759 8660 8108
"ENSDARG00000003797" 14 11 11 9
"ENSDARG00000003803" 6 4 7 6
