"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"122" "ENSDARG00000037142" 585.842521881584 4.11574718458722 0.230365263971888 1.76382384700759e-72 3.2139887559585e-70 TRUE "C14H4orf47"
"125" "ENSDARG00000012405" 408274.505765266 4.09367597309154 0.152239274884491 2.20026597868096e-160 2.6495985570229e-157 TRUE "col1a1a"
"126" "ENSDARG00000042186" 58.9659697940114 4.0902025389767 0.592139870209042 8.37634324553819e-13 7.59658084059173e-12 TRUE "paplnb"
"127" "ENSDARG00000078244" 573.302450838475 4.07936338497651 0.229760006793428 1.92997269961777e-71 3.42656755521239e-69 TRUE "si:ch211-197l9.2"
"128" "ENSDARG00000035151" 137.791130830965 4.07389838756072 0.400583736746034 4.04026162469399e-25 1.08538434742143e-23 TRUE "drll.1"
"129" "ENSDARG00000095848" 83.9953072931113 4.06313494326513 0.493849805583017 3.27426347178393e-17 4.78308414440926e-16 TRUE "si:dkey-239n17.6"
"130" "ENSDARG00000059367" 6538.77146389704 4.06231015134532 0.164383755594361 7.06471209568489e-136 5.75503914453483e-133 TRUE "mfap2"
"132" "ENSDARG00000063385" 2679.72690037224 4.05458421543466 0.192902882465534 2.80730406107852e-99 1.23418889809035e-96 TRUE "cenpe"
"134" "ENSDARG00000019949" 6377.68493465906 4.03960714758594 0.149897717989799 4.37865278013832e-161 5.51252482052232e-158 TRUE "serpinh1b"
"135" "ENSDARG00000006544" 766.89467823111 4.03744306329184 0.220250657303311 4.44277191580129e-76 9.39324074442353e-74 TRUE "c1qtnf6b"
"136" "ENSDARG00000022139" 16.1502965452996 4.03689603382209 1.27593427301122 0.000247885575229848 0.000797223267201707 TRUE "ocstamp"
"137" "ENSDARG00000068567" 200.488019340147 4.03231808860991 0.329615299252719 3.29978644166081e-35 1.57304965705128e-33 TRUE "shha"
"138" "ENSDARG00000055575" 1423.30472219638 4.01358525574842 0.197820251925631 1.19028318207262e-92 4.51606483477608e-90 TRUE "pcolce2b"
"139" "ENSDARG00000037000" 1333.23968900557 4.01003112744518 0.181429024057242 2.52975167329745e-109 1.27393694718763e-106 TRUE "fkbp11"
"140" "ENSDARG00000001313" 423.777228905512 3.99946549425975 0.263554473718164 3.81188264513097e-53 3.53102721144457e-51 TRUE "g2e3"
"142" "ENSDARG00000069917" 219.77124758102 3.97986419146316 0.321118028684859 3.60222956649051e-36 1.78800989790479e-34 TRUE "ska3"
"143" "ENSDARG00000095259" 768.61308121082 3.97864811772373 0.217745605415556 9.35086553614358e-76 1.91845127966347e-73 TRUE "tmem119a"
"144" "ENSDARG00000024488" 1892.38979053325 3.97359762082993 0.193942336994364 1.80362911001986e-94 7.13644506574573e-92 TRUE "top2a"
"145" "ENSDARG00000045832" 19.9024779170144 3.97012278682348 1.00874532764861 1.56723150017449e-05 6.13535135835092e-05 TRUE "cart2"
"146" "ENSDARG00000069823" 78.8503435622792 3.95427839538576 0.539918665076511 3.38448754404788e-14 3.53469651234895e-13 TRUE "proca1"
"147" "ENSDARG00000040249" 187.070578276169 3.95254127778365 0.339224004977855 2.68559148083686e-32 1.10688731018956e-30 TRUE "tlr18"
"148" "ENSDARG00000068941" 5.06864506080144 3.93602833186047 2.93255387927029 0.00326578395896539 0.00842907634996408 TRUE "zgc:113983"
"149" "ENSDARG00000078654" 1491.80218595226 3.92941773909587 0.202057251102151 2.69022918284367e-85 8.37205367159787e-83 TRUE "tpx2"
"150" "ENSDARG00000005216" 915.888580682906 3.90243452244026 0.235754671868909 9.22784149164535e-63 1.25903214676897e-60 TRUE "zgc:158328"
"151" "ENSDARG00000012422" 9308.17821613506 3.87884134383592 0.161688895563052 3.27032251396143e-128 2.38363480708394e-125 TRUE "col11a2"
"152" "ENSDARG00000075538" 10.1352382126732 3.86631476396053 1.67671008603496 0.00315510443783611 0.00817158477788916 TRUE "zgc:163061"
"153" "ENSDARG00000090720" 28.627774931886 3.86319436744371 0.858581420072651 9.46906108017123e-07 4.40780814684878e-06 TRUE "grem1a"
"154" "ENSDARG00000062821" 372.853254666325 3.83552049645507 0.254705404812905 3.32124714502392e-52 2.94835199281177e-50 TRUE "slc6a15"
"155" "ENSDARG00000076248" 4.97538984516659 3.83044000152632 2.99533649417947 0.00369135142868934 0.0093987277551396 TRUE "ppp1r3db"
"157" "ENSDARG00000003259" 2075.18661767379 3.79888196644773 0.19165258272185 1.26893104190306e-88 4.23440759850472e-86 TRUE "loxa"
